"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'CIF (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'CIF (Baht)')"
BE,BELGIUM,374220,25327486,374220,25327486
CN,CHINA,8763,330725,8763,330725
FR,FRANCE,173250,10059766,173250,10059766
DE,GERMANY,114000,9130008,114000,9130008
HK,HONG KONG,27,8778,27,8778
IN,INDIA,229,32577,229,32577
ID,INDONESIA,8750,776592,8750,776592
IT,ITALY,11000,983994,11000,983994
JP,JAPAN,877625,66378351,877625,66378351
KR,"KOREA,REPUBLIC OF",1296625,60490535,1296625,60490535
MY,MALAYSIA,48000,1828837,48000,1828837
NL,NETHERLANDS,110027,8986344,110027,8986344
SA,SAUDI ARABIA,420750,17177049,420750,17177049
SG,SINGAPORE,4206920,208589580,4206920,208589580
TW,"TAIWAN, PROVINCE OF CHINA",22000,923392,22000,923392
AE,UNITED ARAB EMIRATES,456700,19270562,456700,19270562
GB,UNITED KINGDOM,1,1037,1,1037
US,UNITED STATES,10820,1206380,10820,1206380
VN,VIETNAM,18,3051,18,3051
SUM,SUM,8139725,431505044,8139725,431505044
