"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2013', 'Quantity')","('Oct 2013', 'CIF (Baht)')","('Jan - Oct 2013', 'Quantity')","('Jan - Oct 2013', 'CIF (Baht)')"
BE,BELGIUM,0,0,156000,15148654
CN,CHINA,265,32306,5641,490045
FI,FINLAND,0,0,35750,2387136
IT,ITALY,0,0,1450,429329
JP,JAPAN,0,0,859200,55128754
KR,"KOREA,REPUBLIC OF",56400,3420252,394500,24579048
SG,SINGAPORE,572000,27641684,7646000,349554630
SE,SWEDEN,0,0,14000,1295181
AE,UNITED ARAB EMIRATES,98800,5084487,1271450,61769897
US,UNITED STATES,0,0,1357815,81167449
SUM,SUM,727465,36178729,11741806,591950123
