"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'CIF (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,505623,30197952
AT,AUSTRIA,9,7625,1008,1082704
BE,BELGIUM,22018,4475213,125298,26114400
BG,BULGARIA,0,0,400,61280
CA,CANADA,500,154469,38474,6339872
CN,CHINA,183377,11655085,1772038,106294371
CZ,CZECH REPUBLIC,0,0,17,10782
EC,ECUADOR,0,0,2,2012
FR,FRANCE,13740,1724817,255519,23141180
DE,GERMANY,1543,347943,101627,23031519
HK,HONG KONG,0,0,64,44834
IN,INDIA,39016,932181,109964,5075878
ID,INDONESIA,0,0,68051,7062467
IE,IRELAND,0,0,200,78474
IL,ISRAEL,0,0,9800,1016401
IT,ITALY,1120,132127,18942,3822109
JP,JAPAN,182444,37273002,1405220,319649544
KR,"KOREA,REPUBLIC OF",257025,19983921,2670248,193164249
MY,MALAYSIA,173294,16560939,1571086,136170478
MX,MEXICO,9525,578035,20411,1231893
NL,NETHERLANDS,130001,13702156,1344061,152327869
NZ,NEW ZEALAND,75,80507,75,80507
SA,SAUDI ARABIA,148500,7558886,2957000,151075432
SG,SINGAPORE,9650,1089694,817832,97963972
ES,SPAIN,23925,2053134,289925,24289435
CH,SWITZERLAND,700,398145,1700,1321494
TW,"TAIWAN, PROVINCE OF CHINA",212204,14626463,1030518,76732719
TH,THAILAND,0,0,35675,2125437
TT,TRINIDAD AND TOBAGO,31550,390285,31550,390285
TR,TÜRKIYE,0,0,250,108745
AE,UNITED ARAB EMIRATES,24750,1340081,152000,7904652
GB,UNITED KINGDOM,32001,5918050,33553,6196699
US,UNITED STATES,11737,2961718,583077,74316052
VN,VIETNAM,11000,2517924,40010,9055879
SUM,SUM,1519704,146462400,15991218,1487481576
