"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'CIF (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'CIF (Baht)')"
BR,BRAZIL,0,0,161,106925
CN,CHINA,47245,2877926,330600,16868940
FR,FRANCE,0,0,11184,1826221
HK,HONG KONG,0,0,32,40931
IT,ITALY,0,0,34387,5334401
JP,JAPAN,0,0,73492,993981
KR,"KOREA,REPUBLIC OF",0,0,37550,2697825
MY,MALAYSIA,0,0,6000,443517
NL,NETHERLANDS,0,0,57,52554
SG,SINGAPORE,0,0,24761,854499
TW,"TAIWAN, PROVINCE OF CHINA",18,5479,19,5611
AE,UNITED ARAB EMIRATES,0,0,42900,2714883
GB,UNITED KINGDOM,0,0,62,48627
US,UNITED STATES,8,9526,18424,2082808
SUM,SUM,47271,2892931,579629,34071723
