"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'CIF (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,3240,332707
AT,AUSTRIA,300,143775,950,461829
BE,BELGIUM,30500,2841083,78126,5496564
CA,CANADA,100750,5345981,205000,11315000
CN,CHINA,253668,11335647,666738,30779603
FI,FINLAND,49500,3315974,49500,3315974
DE,GERMANY,97701,7327074,151226,12301032
HK,HONG KONG,0,0,79090,1213731
IN,INDIA,0,0,10,1590
ID,INDONESIA,25,6381,25,6381
JP,JAPAN,484087,49597054,906255,97394096
KR,"KOREA,REPUBLIC OF",246925,18324737,319945,23478834
MY,MALAYSIA,46750,3636289,87785,6933113
NL,NETHERLANDS,0,0,25,14945
SA,SAUDI ARABIA,1234350,64121454,2023200,104020620
SG,SINGAPORE,1340835,80071622,2819710,167148785
LK,SRI LANKA,0,0,1,146
TW,"TAIWAN, PROVINCE OF CHINA",195200,12418728,348230,22162763
TH,THAILAND,0,0,2600,368349
AE,UNITED ARAB EMIRATES,408150,22461654,457550,25236147
GB,UNITED KINGDOM,2750,317803,2900,351891
US,UNITED STATES,961008,68621296,2091555,159731386
VN,VIETNAM,9500,829410,27000,2350550
SUM,SUM,5461999,350715962,10320661,674416036
