"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'CIF (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'CIF (Baht)')"
BE,BELGIUM,0,0,36000,3859378
CN,CHINA,2200,115106,6396,359690
DE,GERMANY,0,0,1100,578409
JP,JAPAN,8000,553641,25136,1939767
KR,"KOREA,REPUBLIC OF",43200,3827787,43200,3827787
SG,SINGAPORE,96000,2520353,576000,16119403
SE,SWEDEN,0,0,14000,1485683
AE,UNITED ARAB EMIRATES,148400,4882615,222600,7205016
GB,UNITED KINGDOM,0,0,3450,401586
US,UNITED STATES,41276,1463654,344538,23111210
SUM,SUM,339076,13363156,1272420,58887929
