"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'CIF (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'CIF (Baht)')"
BE,BELGIUM,48075,5235768,48075,5235768
CA,CANADA,23405,1645919,23405,1645919
CN,CHINA,1052048,41197437,1052048,41197437
FI,FINLAND,22000,1350183,22000,1350183
DE,GERMANY,24550,1937341,24550,1937341
IN,INDIA,2000,389708,2000,389708
IL,ISRAEL,18005,1044897,18005,1044897
IT,ITALY,1500,557821,1500,557821
JP,JAPAN,199254,23798247,199254,23798247
KR,"KOREA,REPUBLIC OF",1210700,60010880,1210700,60010880
MY,MALAYSIA,26860,1919431,26860,1919431
NL,NETHERLANDS,4125,362903,4125,362903
QA,QATAR,25500,886568,25500,886568
SA,SAUDI ARABIA,21600,829338,21600,829338
SG,SINGAPORE,635805,25733999,635805,25733999
ES,SPAIN,150,27353,150,27353
TW,"TAIWAN, PROVINCE OF CHINA",21350,1213272,21350,1213272
TH,THAILAND,9350,774825,9350,774825
AE,UNITED ARAB EMIRATES,196400,8005475,196400,8005475
GB,UNITED KINGDOM,200,80219,200,80219
US,UNITED STATES,1966678,80686711,1966678,80686711
VN,VIETNAM,36232,1749962,36232,1749962
SUM,SUM,5545787,259438257,5545787,259438257
