"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2021', 'Quantity')","('Dec 2021', 'CIF (Baht)')","('Jan - Dec 2021', 'Quantity')","('Jan - Dec 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,19086,732362
AT,AUSTRIA,0,0,40,48809
BE,BELGIUM,190618,10727075,1419958,87377771
BR,BRAZIL,122500,10519588,3017450,248918841
CA,CANADA,11000,670624,38080,2141573
CN,CHINA,79452,4726724,644165,41112377
CZ,CZECH REPUBLIC,1,798,2,1759
FI,FINLAND,0,0,150,12589
FR,FRANCE,0,0,289375,16885443
DE,GERMANY,3134,7344071,750169,107306360
HK,HONG KONG,20,3682,22,5098
IN,INDIA,2000,79763,17000,876040
ID,INDONESIA,25,10050,174135,7237954
IT,ITALY,44350,3556975,2107979,123149917
JP,JAPAN,679880,37334755,11838136,600413174
KR,"KOREA,REPUBLIC OF",1087750,47826828,12314854,489133654
KW,KUWAIT,99000,3768182,2301750,81686080
MY,MALAYSIA,629000,26514715,5610154,210840382
NL,NETHERLANDS,0,0,14178,1645009
NO,NORWAY,0,0,18,5448
OM,OMAN,470250,17340164,965725,35061586
PH,PHILIPPINES,0,0,1727,95790
PT,PORTUGAL,0,0,686,26459
QA,QATAR,1536720,64133628,21162000,817871234
RU,RUSSIAN FEDERATION,0,0,297000,10877923
SA,SAUDI ARABIA,1284270,54892509,16775379,628146773
SG,SINGAPORE,1220000,54260458,19127520,768799372
ZA,SOUTH AFRICA,0,0,25,4508
CH,SWITZERLAND,0,0,11000,499218
TW,"TAIWAN, PROVINCE OF CHINA",46475,2593018,1627527,77620006
TH,THAILAND,0,0,27,9818
AE,UNITED ARAB EMIRATES,571775,26918847,8021350,315038670
GB,UNITED KINGDOM,0,0,185,19121
US,UNITED STATES,2682618,156246929,17710621,830952882
VN,VIETNAM,26000,1142862,26378,1170409
SUM,SUM,10786838,530612245,126283851,5505724409
