"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2015', 'Quantity')","('Jun 2015', 'CIF (Baht)')","('Jan - Jun 2015', 'Quantity')","('Jan - Jun 2015', 'CIF (Baht)')"
CN,CHINA,60000,6653238,412025,39262897
FI,FINLAND,0,0,3750,423933
JP,JAPAN,446500,28710470,1029390,63550263
KR,"KOREA,REPUBLIC OF",86000,5284419,720600,44436709
MY,MALAYSIA,10000,593378,130000,7704788
SA,SAUDI ARABIA,0,0,49500,2052856
SE,SWEDEN,11000,684150,206150,16054285
TW,"TAIWAN, PROVINCE OF CHINA",11000,1016980,22550,2153428
AE,UNITED ARAB EMIRATES,62400,3301471,426400,21283003
GB,UNITED KINGDOM,0,0,11000,1098255
US,UNITED STATES,181069,10329755,562171,35296573
VN,VIETNAM,77750,5414203,284000,19656613
SUM,SUM,945719,61988064,3857536,252973603
