"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'CIF (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,16250,919580
BE,BELGIUM,6000,1118659,10000,1888299
BR,BRAZIL,18387,2640137,18387,2640137
CA,CANADA,8000,1279424,16000,2598812
CN,CHINA,27000,3946131,125500,14378083
FR,FRANCE,7770,2371896,11690,3577708
DE,GERMANY,2885,433040,17165,1875320
HK,HONG KONG,33325,2760731,33325,2760731
IN,INDIA,0,0,500,40596
ID,INDONESIA,25500,2584569,25500,2584569
JP,JAPAN,1318598,86193781,3020787,201156576
KR,"KOREA,REPUBLIC OF",880825,43074112,1919825,94598099
MY,MALAYSIA,84000,4018889,129375,6231344
NL,NETHERLANDS,74250,4469622,222750,14237718
NZ,NEW ZEALAND,80,12140,80,12140
SA,SAUDI ARABIA,346500,15781476,519750,23621744
SG,SINGAPORE,5100800,249161821,11060450,548987424
TW,"TAIWAN, PROVINCE OF CHINA",656040,35748962,932970,51402631
TH,THAILAND,0,0,17000,820856
AE,UNITED ARAB EMIRATES,49500,2250729,123750,5534581
GB,UNITED KINGDOM,0,0,15000,1451027
US,UNITED STATES,16600,2308761,59200,5537810
VN,VIETNAM,10000,897420,15000,3966995
SUM,SUM,8666060,461052300,18310254,990822780
