"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2021', 'Quantity')","('Mar 2021', 'CIF (Baht)')","('Jan - Mar 2021', 'Quantity')","('Jan - Mar 2021', 'CIF (Baht)')"
CA,CANADA,0,0,200,25277
CN,CHINA,1250,93801,35600,1577956
HK,HONG KONG,0,0,25500,992571
JP,JAPAN,8000,595860,14774,1309435
KR,"KOREA,REPUBLIC OF",8000,852185,39600,3161977
NL,NETHERLANDS,24750,1140986,74250,3944402
QA,QATAR,25500,821737,25500,821737
SA,SAUDI ARABIA,158500,5443995,354250,11943877
SG,SINGAPORE,1477275,68010734,5392395,241707688
ES,SPAIN,27500,1535049,80300,4590319
AE,UNITED ARAB EMIRATES,717750,24350441,2016500,67105511
US,UNITED STATES,2081950,76365576,3852375,140510822
VN,VIETNAM,75,2270,75,2270
SUM,SUM,4530550,179212634,11911319,477693842
