"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2022', 'Quantity')","('Sept 2022', 'CIF (Baht)')","('Jan - Sept 2022', 'Quantity')","('Jan - Sept 2022', 'CIF (Baht)')"
BR,BRAZIL,0,0,1375,171691
CN,CHINA,21500,1163406,88506,4881916
DE,GERMANY,125,4149,125,4149
HK,HONG KONG,0,0,400,237816
IN,INDIA,0,0,50,58064
JP,JAPAN,2000,238814,164488,12758814
KR,"KOREA,REPUBLIC OF",0,0,54,17763
SA,SAUDI ARABIA,420750,20350468,1584000,74429258
SG,SINGAPORE,24750,1031055,24750,1031055
AE,UNITED ARAB EMIRATES,500,21986,74600,3761813
US,UNITED STATES,49500,2196402,123750,6629316
SUM,SUM,519125,25006280,2062098,103981655
