"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'CIF (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'CIF (Baht)')"
AT,AUSTRIA,879,53812,964,98362
BE,BELGIUM,0,0,420950,21328106
BR,BRAZIL,0,0,500,57974
CA,CANADA,24885,1211355,49635,2442367
CN,CHINA,0,0,620075,45640557
ID,INDONESIA,30250,2737734,595920,33348686
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,120,30350
IL,ISRAEL,5040,361355,5040,361355
JP,JAPAN,46500,3862988,2382869,143934122
KR,"KOREA,REPUBLIC OF",53400,2298790,139800,6622192
KW,KUWAIT,148500,5729148,1039500,42550773
MY,MALAYSIA,181300,8462331,3571901,171477706
NL,NETHERLANDS,74250,3541452,491275,24430211
QA,QATAR,331500,12798015,2218500,91402121
SA,SAUDI ARABIA,3873150,153368114,21021293,883713006
SG,SINGAPORE,280250,12300732,3278179,152151922
ZA,SOUTH AFRICA,0,0,49500,2166292
ES,SPAIN,0,0,25750,1296544
TW,"TAIWAN, PROVINCE OF CHINA",0,0,75,6832
TH,THAILAND,752,220801,26475,1749814
AE,UNITED ARAB EMIRATES,792000,31205065,5767025,243412694
GB,UNITED KINGDOM,0,0,0,32
US,UNITED STATES,93400,5741757,1024550,68573821
VN,VIETNAM,50,5172,50,5172
SUM,SUM,5936106,243898621,42729946,1936801011
