"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2015', 'Quantity')","('Jul 2015', 'CIF (Baht)')","('Jan - Jul 2015', 'Quantity')","('Jan - Jul 2015', 'CIF (Baht)')"
BE,BELGIUM,0,0,24750,1065755
CN,CHINA,0,0,48361,3214097
DE,GERMANY,0,0,2760,178032
HK,HONG KONG,0,0,9,3351
IN,INDIA,0,0,3,610
ID,INDONESIA,0,0,20,726
IL,ISRAEL,0,0,22400,1793532
IT,ITALY,24750,1339232,29373,1753765
JP,JAPAN,300,56823,58160,5839570
KR,"KOREA,REPUBLIC OF",60015,3277577,280015,13309651
MY,MALAYSIA,0,0,25085,525982
NL,NETHERLANDS,24750,1925146,48125,3460687
PL,POLAND,0,0,460,159295
QA,QATAR,0,0,357000,15170960
SA,SAUDI ARABIA,0,0,24750,1143453
ES,SPAIN,0,0,100,394
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2500,392378
AE,UNITED ARAB EMIRATES,200,9401,200,9401
GB,UNITED KINGDOM,0,0,50,39379
US,UNITED STATES,9072,2239683,36609,10838709
SUM,SUM,119087,8847862,960730,58899727
