"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'CIF (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'CIF (Baht)')"
CN,CHINA,7,2758,15,5092
FR,FRANCE,0,0,1500,314187
HK,HONG KONG,24,12784,24,12784
IN,INDIA,0,0,18,1954
IL,ISRAEL,0,0,24000,1687735
JP,JAPAN,35200,4395096,56094,6501796
KR,"KOREA,REPUBLIC OF",189000,13620729,397000,28986949
QA,QATAR,34000,1149499,34000,1149499
TW,"TAIWAN, PROVINCE OF CHINA",350,148172,354,159625
GB,UNITED KINGDOM,0,0,7,4340
US,UNITED STATES,17,32683,19,34302
SUM,SUM,258598,19361721,513031,38858263
