"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2021', 'Quantity')","('Nov 2021', 'CIF (Baht)')","('Jan - Nov 2021', 'Quantity')","('Jan - Nov 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,19086,732362
AT,AUSTRIA,0,0,40,48809
BE,BELGIUM,132540,6740972,1229340,76650696
BR,BRAZIL,202250,17860962,2894950,238399253
CA,CANADA,0,0,27080,1470949
CN,CHINA,21244,1406292,564713,36385653
CZ,CZECH REPUBLIC,0,0,1,961
FI,FINLAND,0,0,150,12589
FR,FRANCE,0,0,289375,16885443
DE,GERMANY,6267,3855439,747035,99962289
HK,HONG KONG,2,1416,2,1416
IN,INDIA,0,0,15000,796277
ID,INDONESIA,0,0,174110,7227904
IT,ITALY,370060,22865718,2063629,119592942
JP,JAPAN,979697,56052142,11158256,563078419
KR,"KOREA,REPUBLIC OF",1429603,63291591,11227104,441306826
KW,KUWAIT,123750,4893853,2202750,77917898
MY,MALAYSIA,764000,29955105,4981154,184325667
NL,NETHERLANDS,0,0,14178,1645009
NO,NORWAY,0,0,18,5448
OM,OMAN,0,0,495475,17721422
PH,PHILIPPINES,1700,87469,1727,95790
PT,PORTUGAL,160,4713,686,26459
QA,QATAR,1588840,63945585,19625280,753737606
RU,RUSSIAN FEDERATION,0,0,297000,10877923
SA,SAUDI ARABIA,1021630,40919687,15491109,573254264
SG,SINGAPORE,1046190,45203772,17907520,714538914
ZA,SOUTH AFRICA,0,0,25,4508
CH,SWITZERLAND,0,0,11000,499218
TW,"TAIWAN, PROVINCE OF CHINA",71000,3873437,1581052,75026988
TH,THAILAND,0,0,27,9818
AE,UNITED ARAB EMIRATES,841550,37530250,7449575,288119823
GB,UNITED KINGDOM,0,0,185,19121
US,UNITED STATES,1081293,63067593,15028003,674705953
VN,VIETNAM,5,998,378,27547
SUM,SUM,9681781,461556994,115497013,4975112164
