"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'CIF (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'CIF (Baht)')"
CA,CANADA,0,0,12540,529097
CN,CHINA,24750,641526,118621,4150303
DE,GERMANY,2000,390174,6000,1174301
ID,INDONESIA,0,0,25,7020
JP,JAPAN,1000,67701,80002,7366718
KR,"KOREA,REPUBLIC OF",19050,1201129,34252,2001983
MY,MALAYSIA,0,0,192000,6530777
NL,NETHERLANDS,16500,909962,217250,9104888
QA,QATAR,0,0,25500,682755
SA,SAUDI ARABIA,146250,4271489,1233000,35449037
SG,SINGAPORE,773625,33312781,7167180,320140493
ES,SPAIN,9300,596689,264000,17325697
AE,UNITED ARAB EMIRATES,665500,19180396,5938625,157325297
US,UNITED STATES,1003100,34372269,13207881,439103652
SUM,SUM,2661075,94944116,28496876,1000892018
