"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'CIF (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'CIF (Baht)')"
CA,CANADA,0,0,9,32437
CN,CHINA,1550,168449,24666,644048
DE,GERMANY,0,0,24,22270
IN,INDIA,0,0,208001,8871034
ID,INDONESIA,8,3182,8,3182
IT,ITALY,3,2624,3,2624
JP,JAPAN,73020,2010524,175761,10669840
KR,"KOREA,REPUBLIC OF",0,0,14000,597783
MY,MALAYSIA,0,0,1300,491231
NL,NETHERLANDS,0,0,0,5110
NO,NORWAY,0,0,350,20708
SA,SAUDI ARABIA,99000,3769801,651750,25268254
TW,"TAIWAN, PROVINCE OF CHINA",300,194448,36920,2876773
GB,UNITED KINGDOM,0,0,1,12962
US,UNITED STATES,0,0,72013,5706898
SUM,SUM,173881,6149028,1184806,55225154
