"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'CIF (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'CIF (Baht)')"
AU,AUSTRALIA,44256,1942632,44256,1942632
CN,CHINA,1388160,73718633,1388160,73718633
FI,FINLAND,23375,1364263,23375,1364263
FR,FRANCE,13500,536177,13500,536177
DE,GERMANY,27321,7065922,27321,7065922
IN,INDIA,112694,3609403,112694,3609403
ID,INDONESIA,353,111612,353,111612
IL,ISRAEL,24000,1714767,24000,1714767
IT,ITALY,1000,81434,1000,81434
JP,JAPAN,833695,50566064,833695,50566064
KR,"KOREA,REPUBLIC OF",1474019,74900952,1474019,74900952
MY,MALAYSIA,122028,16820653,122028,16820653
NL,NETHERLANDS,49500,4644165,49500,4644165
NZ,NEW ZEALAND,697,795266,697,795266
RU,RUSSIAN FEDERATION,180,91460,180,91460
SA,SAUDI ARABIA,4537820,171384954,4537820,171384954
SG,SINGAPORE,1104557,56183918,1104557,56183918
ZA,SOUTH AFRICA,99000,3715332,99000,3715332
ES,SPAIN,11000,1026621,11000,1026621
TW,"TAIWAN, PROVINCE OF CHINA",31785,2353928,31785,2353928
TH,THAILAND,13000,719428,13000,719428
AE,UNITED ARAB EMIRATES,198400,8074385,198400,8074385
US,UNITED STATES,92542,6122885,92542,6122885
VN,VIETNAM,5510,510894,5510,510894
SUM,SUM,10208392,488055748,10208392,488055748
