"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2022', 'Quantity')","('Sept 2022', 'CIF (Baht)')","('Jan - Sept 2022', 'Quantity')","('Jan - Sept 2022', 'CIF (Baht)')"
CN,CHINA,0,0,52000,4226804
FR,FRANCE,1700,519783,22385,3259669
DE,GERMANY,700,160743,6300,1218995
IN,INDIA,47770,3279681,132982,9095683
IT,ITALY,4,7275,18224,2399102
JP,JAPAN,69683,5653549,629844,46824939
KR,"KOREA,REPUBLIC OF",151310,10145494,1969572,135079126
MY,MALAYSIA,24,20158,58714,3887118
NL,NETHERLANDS,0,0,2,3186
RU,RUSSIAN FEDERATION,0,0,16500,2997080
SG,SINGAPORE,0,0,3740,710324
AE,UNITED ARAB EMIRATES,0,0,7200,849467
US,UNITED STATES,3530,649131,12947,2243846
SUM,SUM,274721,20435814,2930410,212795339
