"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'CIF (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'CIF (Baht)')"
AR,ARGENTINA,200,84781,200,84781
BE,BELGIUM,53800,3538024,53800,3538024
CN,CHINA,142000,8363567,142000,8363567
FI,FINLAND,2750,292465,2750,292465
HK,HONG KONG,188290,1874777,188290,1874777
IN,INDIA,1500,165126,1500,165126
JP,JAPAN,551185,33475852,551185,33475852
KR,"KOREA,REPUBLIC OF",871050,40526916,871050,40526916
MY,MALAYSIA,55506,7371089,55506,7371089
MX,MEXICO,1360,682442,1360,682442
SA,SAUDI ARABIA,519750,20087093,519750,20087093
SG,SINGAPORE,278280,15316119,278280,15316119
TW,"TAIWAN, PROVINCE OF CHINA",93000,4122840,93000,4122840
TH,THAILAND,14270,276666,14270,276666
AE,UNITED ARAB EMIRATES,1000,44921,1000,44921
US,UNITED STATES,32171,1412680,32171,1412680
VN,VIETNAM,540000,21203037,540000,21203037
SUM,SUM,3346112,158838395,3346112,158838395
