"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2019', 'Quantity')","('Nov 2019', 'CIF (Baht)')","('Jan - Nov 2019', 'Quantity')","('Jan - Nov 2019', 'CIF (Baht)')"
AU,AUSTRALIA,7737,1177351,56664,4394713
BE,BELGIUM,30375,1289217,1665750,67415381
BR,BRAZIL,0,0,425,54004
CA,CANADA,50000,1325001,225050,6833262
CN,CHINA,44000,2760876,989327,65079838
FR,FRANCE,25,6450,22025,1741506
IN,INDIA,0,0,52000,1597548
ID,INDONESIA,81200,6738532,907877,51482927
IL,ISRAEL,12000,826070,34116,2530533
JP,JAPAN,29324,4473600,2561571,151462190
KR,"KOREA,REPUBLIC OF",28050,940070,527050,20455288
KW,KUWAIT,0,0,2524500,77415008
MY,MALAYSIA,0,0,559500,20128529
NL,NETHERLANDS,0,0,140000,5768277
QA,QATAR,153000,4427332,3901500,120461748
SA,SAUDI ARABIA,2607750,72286973,35190350,1138325818
SG,SINGAPORE,146250,4790268,5443475,200262034
ZA,SOUTH AFRICA,0,0,420750,13736419
ES,SPAIN,0,0,168500,6056843
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10,2432
AE,UNITED ARAB EMIRATES,409000,11518336,7957600,268672739
US,UNITED STATES,1693325,48284371,11276552,368731062
VN,VIETNAM,625,16372,675,17710
SUM,SUM,5292661,160860819,74625267,2592625809
