"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'CIF (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'CIF (Baht)')"
BE,BELGIUM,99000,4293748,411675,18348973
BR,BRAZIL,49500,1827954,49500,1827954
CN,CHINA,470000,6053114,733070,24640168
FR,FRANCE,0,0,86725,6902660
IN,INDIA,3950,317317,80750,3542483
ID,INDONESIA,40100,3045284,234825,19527452
IL,ISRAEL,0,0,10200,672359
JP,JAPAN,59800,7737809,392274,35852571
KR,"KOREA,REPUBLIC OF",0,0,331450,14942284
KW,KUWAIT,0,0,544500,20550481
MY,MALAYSIA,10000,398632,632575,27237252
NL,NETHERLANDS,40000,1764245,80000,3504772
QA,QATAR,433500,15844156,1734000,65470427
SA,SAUDI ARABIA,3226500,124974702,15172950,594056874
SG,SINGAPORE,377075,16002014,3940325,164765918
ES,SPAIN,0,0,31000,1355901
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10,12025
TH,THAILAND,33000,1489775,65000,2969579
AE,UNITED ARAB EMIRATES,382500,15094507,3087975,124412401
US,UNITED STATES,137150,7050755,614590,30258357
VN,VIETNAM,0,0,5,946
SUM,SUM,5362075,205894012,28233399,1160851837
