"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'CIF (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'CIF (Baht)')"
AU,AUSTRALIA,100,7247,100,7247
CN,CHINA,311000,11684634,561206,20971742
FR,FRANCE,1000,212584,2000,429381
IN,INDIA,3,508,3,508
JP,JAPAN,15712,6751899,85763,17280491
KR,"KOREA,REPUBLIC OF",347800,15782660,1111900,52461135
SG,SINGAPORE,11200,2164492,15680,3042532
TW,"TAIWAN, PROVINCE OF CHINA",0,0,25477,2106169
AE,UNITED ARAB EMIRATES,24800,773205,24800,773205
GB,UNITED KINGDOM,0,0,5,8572
US,UNITED STATES,0,0,198000,6348332
SUM,SUM,711615,37377229,2024934,103429314
