"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'CIF (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'CIF (Baht)')"
BR,BRAZIL,0,0,275,35400
CN,CHINA,0,0,7878,53813
DE,GERMANY,2400,4901282,4000,8055069
JP,JAPAN,32786,1588881,367211,5146322
KR,"KOREA,REPUBLIC OF",14000,490468,28000,1026306
MY,MALAYSIA,0,0,900,368197
NL,NETHERLANDS,3,2064,3,2064
PH,PHILIPPINES,0,0,13,2530
SA,SAUDI ARABIA,247500,8404222,618750,21825928
UA,UKRAINE,0,0,5,1974
US,UNITED STATES,18000,1375860,36000,2753728
SUM,SUM,314689,16762777,1063035,39271331
