"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'CIF (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'CIF (Baht)')"
AU,AUSTRALIA,9775,855895,32275,1668981
BD,BANGLADESH,0,0,100,16769
BE,BELGIUM,69300,3564271,263575,13326398
CA,CANADA,0,0,17000,1379910
CN,CHINA,152216,4698002,856121,29624080
DE,GERMANY,0,0,42,31079
IN,INDIA,3650,6301833,3650,6301833
IT,ITALY,1500,1295594,94855,8364997
JP,JAPAN,169890,9496766,809061,48601846
KR,"KOREA,REPUBLIC OF",720350,35175982,5569550,270369698
MY,MALAYSIA,56977,4248687,156063,11398753
SA,SAUDI ARABIA,99000,3067828,1089000,44383501
SG,SINGAPORE,0,0,240000,12220960
TW,"TAIWAN, PROVINCE OF CHINA",291000,14815919,2821004,135169927
US,UNITED STATES,53550,3867553,269137,22729721
VN,VIETNAM,0,0,21240,471206
SUM,SUM,1627208,87388330,12242673,606059659
