"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'CIF (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1000,193472
AT,AUSTRIA,90000,5216042,90000,5216042
BE,BELGIUM,55775,4287871,68775,5503097
CN,CHINA,88156,8290346,120256,11438261
FR,FRANCE,159550,8484200,307300,16423101
DE,GERMANY,11018,987913,56026,3596484
IN,INDIA,37,9156,61,13982
ID,INDONESIA,5008,515647,5008,515647
IT,ITALY,0,0,4125,420321
JP,JAPAN,591842,38756014,1554601,105117020
KR,"KOREA,REPUBLIC OF",267625,13579447,819586,42054927
MY,MALAYSIA,16612,748922,64612,2868652
NL,NETHERLANDS,75250,5063443,100000,7404163
SA,SAUDI ARABIA,123750,5346551,297000,12371502
SG,SINGAPORE,3994205,176241157,8155185,363792954
ES,SPAIN,3,1663,3,1663
TW,"TAIWAN, PROVINCE OF CHINA",411200,18574121,611714,27548946
AE,UNITED ARAB EMIRATES,247500,10106658,569250,23685693
US,UNITED STATES,56380,4922042,87600,8494403
SUM,SUM,6193911,301131193,12912102,636660330
