"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'CIF (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'CIF (Baht)')"
AU,AUSTRALIA,52,14390,52,14390
BE,BELGIUM,20005,2733817,20005,2733817
CA,CANADA,20,8028,20,8028
CN,CHINA,1380430,64564219,1380430,64564219
DK,DENMARK,6,30707,6,30707
DE,GERMANY,21252,3085222,21252,3085222
IN,INDIA,14960,1341664,14960,1341664
IT,ITALY,420,123788,420,123788
JP,JAPAN,196037,24847719,196037,24847719
KR,"KOREA,REPUBLIC OF",48000,5399829,48000,5399829
MY,MALAYSIA,2,119,2,119
MX,MEXICO,25,18901,25,18901
NL,NETHERLANDS,6618,1351218,6618,1351218
QA,QATAR,306000,5890230,306000,5890230
SA,SAUDI ARABIA,148500,6236740,148500,6236740
SG,SINGAPORE,700300,32741273,700300,32741273
ES,SPAIN,1,265,1,265
CH,SWITZERLAND,6420,939203,6420,939203
TW,"TAIWAN, PROVINCE OF CHINA",4600,579235,4600,579235
AE,UNITED ARAB EMIRATES,297000,11624580,297000,11624580
US,UNITED STATES,996974,74535820,996974,74535820
VN,VIETNAM,4005,452625,4005,452625
SUM,SUM,4151627,236519592,4151627,236519592
