"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'CIF (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'CIF (Baht)')"
AU,AUSTRALIA,8890,737048,8890,737048
AT,AUSTRIA,455,88942,455,88942
BE,BELGIUM,72565,8359103,72565,8359103
BR,BRAZIL,42175,3884393,42175,3884393
CN,CHINA,55055,2688044,55055,2688044
FR,FRANCE,262875,14943940,262875,14943940
DE,GERMANY,1660,3457375,1660,3457375
IN,INDIA,8600,561140,8600,561140
ID,INDONESIA,5025,191225,5025,191225
IT,ITALY,53540,3357423,53540,3357423
JP,JAPAN,946614,54912012,946614,54912012
KR,"KOREA,REPUBLIC OF",967000,43620824,967000,43620824
KW,KUWAIT,767250,28425091,767250,28425091
LA,LAO PDR,2,4500,2,4500
MY,MALAYSIA,716500,26597284,716500,26597284
QA,QATAR,2083880,82172471,2083880,82172471
SA,SAUDI ARABIA,2178100,79221819,2178100,79221819
SG,SINGAPORE,1168220,44656970,1168220,44656970
TW,"TAIWAN, PROVINCE OF CHINA",135407,5747372,135407,5747372
AE,UNITED ARAB EMIRATES,1707750,63609250,1707750,63609250
US,UNITED STATES,898651,40444373,898651,40444373
SUM,SUM,12080214,507680599,12080214,507680599
