"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2018', 'Quantity')","('Nov 2018', 'CIF (Baht)')","('Jan - Nov 2018', 'Quantity')","('Jan - Nov 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,59820,2387706
AT,AUSTRIA,1375,135769,1575,273782
BE,BELGIUM,100740,4645105,1426611,77225360
BR,BRAZIL,46025,4047919,501625,40396681
CA,CANADA,1699,1048775,51115,11199472
CN,CHINA,88049,5100767,860668,38104043
CR,COSTA RICA,0,0,172,41280
DK,DENMARK,0,0,1,459
FI,FINLAND,0,0,24750,1960189
FR,FRANCE,313540,17800307,1290290,72575593
DE,GERMANY,204600,14698508,2230318,164207556
HK,HONG KONG,0,0,23,33580
ID,INDONESIA,0,0,69515,3933660
IT,ITALY,6503,927826,192393,13001702
JP,JAPAN,962912,53035241,13916984,728262176
KR,"KOREA,REPUBLIC OF",882200,44278573,6838887,329846030
KW,KUWAIT,891000,34549938,8142750,330616991
MY,MALAYSIA,770800,34426246,4276215,188499238
MX,MEXICO,500,153226,500,153226
NL,NETHERLANDS,2,43810,71503,4734694
NO,NORWAY,0,0,1580270,83549165
QA,QATAR,737460,32842751,20488782,919301842
SA,SAUDI ARABIA,1831500,75455008,18417750,796914282
SG,SINGAPORE,1021980,45389275,11347374,516841622
ES,SPAIN,0,0,27,15449
SE,SWEDEN,0,0,2750,274810
CH,SWITZERLAND,0,0,16640,774075
TW,"TAIWAN, PROVINCE OF CHINA",100,3284,2644600,126319035
TH,THAILAND,54000,2260387,281066,11315269
AE,UNITED ARAB EMIRATES,1262250,52640752,13316461,569159274
GB,UNITED KINGDOM,0,0,100,11660
US,UNITED STATES,1388707,58729052,10405181,466107953
VN,VIETNAM,0,0,1000,66386
SUM,SUM,10565942,482212519,118457716,5498104240
