"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'CIF (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'CIF (Baht)')"
BE,BELGIUM,12000,1225773,235800,24170250
CN,CHINA,0,0,120000,9636789
FI,FINLAND,0,0,1375,106630
JP,JAPAN,0,0,517660,36964389
KR,"KOREA,REPUBLIC OF",0,0,127773,9402536
SG,SINGAPORE,554000,28857566,9220950,482581675
AE,UNITED ARAB EMIRATES,13000,723931,632500,34212098
GB,UNITED KINGDOM,0,0,475,47242
US,UNITED STATES,330208,25858494,1400170,106525764
SUM,SUM,909208,56665764,12256703,703647373
