"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'CIF (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'CIF (Baht)')"
AT,AUSTRIA,0,0,103,28597
BE,BELGIUM,9500,1016450,38000,4053038
CN,CHINA,16000,1686862,16000,1686862
JP,JAPAN,149702,14596616,753754,74647166
KR,"KOREA,REPUBLIC OF",0,0,150870,8757204
QA,QATAR,33000,1550269,66000,2921371
SG,SINGAPORE,0,0,9000,1461919
TW,"TAIWAN, PROVINCE OF CHINA",80000,4241961,256000,19182353
VN,VIETNAM,0,0,50,49299
SUM,SUM,288202,23092158,1289777,112787809
