"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
BR,BRAZIL,27,16784,27,16784
CN,CHINA,0,0,4760,375589
FR,FRANCE,500,106247,2500,525269
IN,INDIA,112001,2551946,112001,2551946
IT,ITALY,0,0,2500,180474
JP,JAPAN,45761,6280334,102112,13762752
KR,"KOREA,REPUBLIC OF",47000,2473768,133000,6552902
MY,MALAYSIA,0,0,2500,266550
QA,QATAR,0,0,34000,1378759
TW,"TAIWAN, PROVINCE OF CHINA",9,19832,9,19832
GB,UNITED KINGDOM,0,0,100,24882
SUM,SUM,205298,11448911,393509,25655739
