"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'CIF (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'CIF (Baht)')"
BR,BRAZIL,631,397661,2925,2196539
CN,CHINA,0,0,29550,2689045
FR,FRANCE,25,18528,255283,14349306
DE,GERMANY,0,0,5785,928739
IN,INDIA,0,0,28800,1554471
JP,JAPAN,28576,2353097,467949,34694255
KR,"KOREA,REPUBLIC OF",28800,1633306,1414970,84594684
MY,MALAYSIA,0,0,250,12054
RU,RUSSIAN FEDERATION,0,0,24750,5598519
SG,SINGAPORE,0,0,442,360127
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1025,103231
TH,THAILAND,0,0,4975,567198
GB,UNITED KINGDOM,700,104213,700,104213
US,UNITED STATES,489,218263,4514,1282395
SUM,SUM,59221,4725068,2241918,149034776
