"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'CIF (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'CIF (Baht)')"
BE,BELGIUM,123750,5406687,1068300,47758002
BR,BRAZIL,200,117626,49700,1945580
CA,CANADA,98200,2870669,273200,9660959
CN,CHINA,22000,1538516,1218241,57367156
FR,FRANCE,11025,968923,163750,13148741
DE,GERMANY,0,0,1,389
IN,INDIA,78600,3067799,529350,21216951
ID,INDONESIA,73500,6071108,487245,41077892
IL,ISRAEL,0,0,16200,1079388
JP,JAPAN,90020,8884953,798991,73558522
KR,"KOREA,REPUBLIC OF",14000,718799,548400,25576999
KW,KUWAIT,74250,2670969,990000,37159478
MY,MALAYSIA,50000,2125656,917450,41051499
NL,NETHERLANDS,40000,1765862,220000,9819477
QA,QATAR,306000,11399566,3570000,135914207
SA,SAUDI ARABIA,3446100,131362788,30386550,1192056941
SG,SINGAPORE,1050000,42627221,8153300,342224789
ES,SPAIN,0,0,229057,9610655
TW,"TAIWAN, PROVINCE OF CHINA",0,0,5010,228522
TH,THAILAND,160000,5895316,296000,11309235
AE,UNITED ARAB EMIRATES,902000,35648581,6353050,257043586
US,UNITED STATES,267955,11619033,1669195,79417200
VN,VIETNAM,0,0,5,946
SUM,SUM,6807600,274760072,57942995,2408227114
