"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2017', 'Quantity')","('Dec 2017', 'CIF (Baht)')","('Jan - Dec 2017', 'Quantity')","('Jan - Dec 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,25131,852593
AT,AUSTRIA,0,0,15960,2455444
BE,BELGIUM,26050,2386302,586721,53123356
BR,BRAZIL,0,0,300,64633
CA,CANADA,0,0,26630,6231415
CN,CHINA,625054,26408316,6313335,271236967
EG,EGYPT,0,0,53,9107
FI,FINLAND,0,0,50,47265
FR,FRANCE,22250,1817813,128597,11942103
DE,GERMANY,0,0,259930,26235117
HK,HONG KONG,0,0,86,63248
IN,INDIA,80,19201,124364,7509437
ID,INDONESIA,0,131,440,21929
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,83,57003
IL,ISRAEL,0,0,120,13545
IT,ITALY,0,0,24805,7239561
JP,JAPAN,301926,36702778,3695414,448425594
KR,"KOREA,REPUBLIC OF",188800,8779651,3608740,175815513
KW,KUWAIT,49500,1990212,148600,5707377
LU,LUXEMBOURG,0,0,175,38999
MY,MALAYSIA,20200,1116014,872063,45966235
NL,NETHERLANDS,55000,3346410,106822,5981402
NZ,NEW ZEALAND,0,0,250,17740
QA,QATAR,0,0,2040050,84142933
SA,SAUDI ARABIA,88875,3962883,1272450,54909066
SG,SINGAPORE,1853290,84791213,25577413,1207411790
ZA,SOUTH AFRICA,0,0,0,16076
ES,SPAIN,19800,1491106,129125,9238224
SE,SWEDEN,0,0,0,13047
CH,SWITZERLAND,0,0,1344,193535
TW,"TAIWAN, PROVINCE OF CHINA",11025,1270652,434885,34551991
TH,THAILAND,200,6591,36288,2141198
TT,TRINIDAD AND TOBAGO,0,0,17277,208771
UA,UKRAINE,0,0,24400,1118207
AE,UNITED ARAB EMIRATES,915725,38669781,3475285,145061149
GB,UNITED KINGDOM,3500,761950,24084,5965667
US,UNITED STATES,178530,21432938,3050340,387102102
VN,VIETNAM,0,0,11317,642358
SUM,SUM,4359805,234953942,52032927,3001771697
