"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'CIF (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'CIF (Baht)')"
BE,BELGIUM,84250,3972632,495925,22321605
BR,BRAZIL,0,0,49500,1827954
CN,CHINA,132111,9282175,865181,33922343
FR,FRANCE,0,0,86725,6902660
IN,INDIA,78000,3128633,158750,6671116
ID,INDONESIA,55950,4684680,290775,24212132
IL,ISRAEL,6000,407029,16200,1079388
JP,JAPAN,79997,6505174,472271,42357745
KR,"KOREA,REPUBLIC OF",57600,2634990,389050,17577274
KW,KUWAIT,148500,5489263,693000,26039744
MY,MALAYSIA,117500,5605696,750075,32842948
NL,NETHERLANDS,40000,1832882,120000,5337654
QA,QATAR,357000,13407446,2091000,78877873
SA,SAUDI ARABIA,2932650,114555223,18105600,708612097
SG,SINGAPORE,644400,27830906,4584725,192596824
ES,SPAIN,57,25272,31057,1381173
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10,12025
TH,THAILAND,0,0,65000,2969579
AE,UNITED ARAB EMIRATES,431750,17597470,3519725,142009871
US,UNITED STATES,126600,6688695,741190,36947052
VN,VIETNAM,0,0,5,946
SUM,SUM,5292365,223648166,33525764,1384500003
