"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'CIF (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2442246
CN,CHINA,300,20951,5300,468009
HK,HONG KONG,7076,444753,25993,2694789
JP,JAPAN,0,0,4000,227262
KR,"KOREA,REPUBLIC OF",52520,4610106,409640,28579646
MY,MALAYSIA,5000,312700,5000,312700
SG,SINGAPORE,5443,703244,451268,27346935
SE,SWEDEN,0,0,56000,4475108
AE,UNITED ARAB EMIRATES,75400,3520018,325000,15122094
GB,UNITED KINGDOM,250,151048,17250,1888151
US,UNITED STATES,750,242642,365247,23455684
VN,VIETNAM,10000,590124,123050,7258627
SUM,SUM,156739,10595586,1811748,114271251
