"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'CIF (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,7868,449104
BE,BELGIUM,52000,1977537,763875,28732109
BR,BRAZIL,22000,1812399,26050,2293224
CA,CANADA,0,0,200600,5177553
CN,CHINA,132000,7736655,1041000,54018262
CZ,CZECH REPUBLIC,3,2297,3,2297
DE,GERMANY,1010,128988,44985,2101292
IN,INDIA,0,0,233000,6791832
ID,INDONESIA,530850,19224427,3285426,119834493
IL,ISRAEL,0,0,26540,1785168
JP,JAPAN,83000,4991041,558247,50049722
KR,"KOREA,REPUBLIC OF",70000,2541071,338375,11916299
KW,KUWAIT,693000,17942726,2029500,50422174
LA,LAO PDR,0,0,30000,473436
MY,MALAYSIA,0,0,997575,28204561
QA,QATAR,408000,10928118,2397000,61123279
SA,SAUDI ARABIA,3517200,97974118,25434725,677898625
SG,SINGAPORE,204125,8123280,2207800,73169768
ZA,SOUTH AFRICA,0,0,173250,5234655
CH,SWITZERLAND,0,0,359,80117
TW,"TAIWAN, PROVINCE OF CHINA",0,7772,8127,6422391
TH,THAILAND,0,0,82554,2740244
AE,UNITED ARAB EMIRATES,1064275,30735458,7785650,209150177
US,UNITED STATES,898500,27379967,9501467,283178109
VN,VIETNAM,0,0,71286,2230062
SUM,SUM,7675963,231505854,57245262,1683478953
