"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2013', 'Quantity')","('Oct 2013', 'CIF (Baht)')","('Jan - Oct 2013', 'Quantity')","('Jan - Oct 2013', 'CIF (Baht)')"
AU,AUSTRALIA,32000,1147643,130354,5638394
AT,AUSTRIA,0,0,410,67814
BE,BELGIUM,50400,3475615,762810,44559220
BR,BRAZIL,0,0,5500,409351
CA,CANADA,0,0,20956,1497645
CN,CHINA,7025,752811,442117,23118210
FI,FINLAND,24750,1596988,24750,1596988
FR,FRANCE,0,0,61925,5183085
DE,GERMANY,2635,3806866,302900,82083059
IN,INDIA,0,0,4691,403635
ID,INDONESIA,280000,14151661,711740,35051759
IT,ITALY,0,0,52250,3626386
JP,JAPAN,1507605,99175361,17612051,1016338179
KR,"KOREA,REPUBLIC OF",90000,4589127,314440,15805525
KW,KUWAIT,866250,40189566,6286500,274994803
LU,LUXEMBOURG,0,0,600,144530
MY,MALAYSIA,296500,15963270,4296975,194660959
NL,NETHERLANDS,0,0,700,184375
NZ,NEW ZEALAND,0,0,75,35653
PL,POLAND,0,0,4,1968
QA,QATAR,4415040,218969614,32199119,1510811090
RU,RUSSIAN FEDERATION,0,0,1272,133017
SA,SAUDI ARABIA,3564000,168251617,24060000,1076838411
SG,SINGAPORE,1248195,60725391,14461551,668688229
ES,SPAIN,0,0,375,97299
SE,SWEDEN,0,0,22000,1633724
TW,"TAIWAN, PROVINCE OF CHINA",19075,1246794,262565,12629247
TH,THAILAND,0,0,215322,9461112
AE,UNITED ARAB EMIRATES,276900,13506193,7165700,312855893
GB,UNITED KINGDOM,0,0,9999,2072329
US,UNITED STATES,15682,1736952,2247036,109229522
VN,VIETNAM,0,0,200,17392
SUM,SUM,12696057,649285469,111676887,5409868803
