"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'CIF (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,108,45991
AT,AUSTRIA,0,0,2750,231487
BD,BANGLADESH,0,0,36,7135
BE,BELGIUM,75390,2872491,483614,21734022
BR,BRAZIL,0,0,1100,189966
CA,CANADA,0,0,34250,2424630
CN,CHINA,88380,2194487,1811915,55677170
FR,FRANCE,0,0,49500,2270559
DE,GERMANY,0,0,32460,1699339
HK,HONG KONG,1,733,55,9203
IN,INDIA,0,0,6165,13292471
ID,INDONESIA,0,642,1,715
IT,ITALY,0,0,209850,23092625
JP,JAPAN,327173,14536129,2318945,125583243
KR,"KOREA,REPUBLIC OF",811500,34154895,14457323,613139724
MY,MALAYSIA,101670,4144119,392996,24525155
PT,PORTUGAL,0,0,54432,5921282
SA,SAUDI ARABIA,0,0,841500,33136153
SG,SINGAPORE,0,0,163961,5652399
ES,SPAIN,1,573,6,2980
SE,SWEDEN,0,0,53200,2033716
TW,"TAIWAN, PROVINCE OF CHINA",1093500,46944264,8013203,355338041
TH,THAILAND,0,0,22075,952926
GB,UNITED KINGDOM,300,59432,21095,2127932
US,UNITED STATES,72500,3204722,1360477,67626996
VN,VIETNAM,19850,632413,107539,4207749
SUM,SUM,2590265,108744900,30438556,1360923609
