"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'CIF (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'CIF (Baht)')"
AU,AUSTRALIA,44000,940506,44000,940506
AT,AUSTRIA,60,48445,60,48445
BE,BELGIUM,130300,4489471,130300,4489471
BR,BRAZIL,15700,1343332,15700,1343332
CN,CHINA,80800,3755089,80800,3755089
DE,GERMANY,15700,5043969,15700,5043969
IN,INDIA,500,63078,500,63078
IL,ISRAEL,150,39465,150,39465
IT,ITALY,358810,16627759,358810,16627759
JP,JAPAN,1377551,61016447,1377551,61016447
KR,"KOREA,REPUBLIC OF",476680,13758688,476680,13758688
KW,KUWAIT,816750,20881021,816750,20881021
MY,MALAYSIA,138025,3909468,138025,3909468
QA,QATAR,2154420,59442215,2154420,59442215
SA,SAUDI ARABIA,1211375,30257522,1211375,30257522
SG,SINGAPORE,1125420,30764440,1125420,30764440
TW,"TAIWAN, PROVINCE OF CHINA",175250,7074523,175250,7074523
AE,UNITED ARAB EMIRATES,1872175,48302106,1872175,48302106
US,UNITED STATES,4679741,126483967,4679741,126483967
SUM,SUM,14673407,434241511,14673407,434241511
