"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'CIF (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'CIF (Baht)')"
BE,BELGIUM,0,0,24750,878015
BR,BRAZIL,0,0,2750,252303
CN,CHINA,0,0,14400,575310
FR,FRANCE,0,0,1,610
DE,GERMANY,0,0,21,8800
HK,HONG KONG,0,0,21,5899
IN,INDIA,0,0,3001,255301
JP,JAPAN,20000,1066556,96000,5749808
KR,"KOREA,REPUBLIC OF",0,0,24789,1220176
MY,MALAYSIA,25,27093,24181,999304
QA,QATAR,0,0,306000,7892179
SA,SAUDI ARABIA,21600,652141,832050,23509212
ES,SPAIN,120,67684,120,67684
TW,"TAIWAN, PROVINCE OF CHINA",0,0,30,25506
AE,UNITED ARAB EMIRATES,294000,10254688,304500,10630307
US,UNITED STATES,0,0,135280,4081496
VN,VIETNAM,33275,1153959,68275,2534080
SUM,SUM,369020,13222121,1836169,58685990
