"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'CIF (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'CIF (Baht)')"
CN,CHINA,12005,978720,36044,2866544
FR,FRANCE,2000,425976,7000,1507949
HK,HONG KONG,3,3182,3,3182
IN,INDIA,0,0,51,4913
JP,JAPAN,76751,9101896,220333,29955868
KR,"KOREA,REPUBLIC OF",60000,3463866,409244,23396861
MY,MALAYSIA,20,9993,70,33996
OM,OMAN,49500,2434744,49500,2434744
SG,SINGAPORE,12000,956598,63000,4127849
ES,SPAIN,0,0,25,46246
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,31410
GB,UNITED KINGDOM,14,30695,14,30695
US,UNITED STATES,0,0,117,94573
SUM,SUM,212293,17405670,785501,64534830
