"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'CIF (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'CIF (Baht)')"
BD,BANGLADESH,0,0,1,67
CN,CHINA,3,698,71767,3263901
DE,GERMANY,0,0,5,12475
IE,IRELAND,0,0,2,1374
JP,JAPAN,15275,1862939,63420,7826654
KR,"KOREA,REPUBLIC OF",137004,6343973,233008,10500343
MY,MALAYSIA,0,0,10,1378
SG,SINGAPORE,40500,1980370,151500,7766641
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,10114
US,UNITED STATES,0,0,151,66509
SUM,SUM,192782,10187980,519964,29449456
