"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'CIF (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'CIF (Baht)')"
BR,BRAZIL,0,0,2040,319519
CN,CHINA,14000,674143,53501,3029126
FR,FRANCE,2,2196,14502,2092998
DE,GERMANY,1400,346236,4551,879829
IN,INDIA,39650,1470988,215600,7679570
IT,ITALY,525,126271,525,126271
JP,JAPAN,32124,2060277,249014,13068169
KR,"KOREA,REPUBLIC OF",179121,6956699,1269602,54168408
MY,MALAYSIA,0,0,19664,944043
US,UNITED STATES,22,10772,9080,1366635
SUM,SUM,266844,11647582,1838079,83674568
