"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'CIF (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'CIF (Baht)')"
CA,CANADA,99250,4976294,249250,11609829
CN,CHINA,176000,8218801,457250,23918789
DE,GERMANY,0,0,4500,1188034
JP,JAPAN,78515,7226490,268665,26837305
KR,"KOREA,REPUBLIC OF",376201,39990626,2435751,231079344
LA,LAO PDR,0,0,20000,474907
NL,NETHERLANDS,0,0,305500,20155168
QA,QATAR,102000,5017049,229500,11332514
SA,SAUDI ARABIA,49500,2522198,1381550,65951407
SG,SINGAPORE,1847775,130550166,10043670,639113601
ES,SPAIN,87960,10799295,276210,30560609
AE,UNITED ARAB EMIRATES,371253,20135916,2999278,148362524
US,UNITED STATES,1070200,59750601,4451541,242398234
VN,VIETNAM,0,0,300,50466
SUM,SUM,4258654,289187436,23122965,1453032731
