"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2022', 'Quantity')","('Sept 2022', 'CIF (Baht)')","('Jan - Sept 2022', 'Quantity')","('Jan - Sept 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,134175,11461405
BE,BELGIUM,49500,2964250,777253,52757116
BR,BRAZIL,0,0,11375,1275580
CA,CANADA,527830,26558653,2686480,131281144
CN,CHINA,52200,2495140,184241,8830642
HK,HONG KONG,0,0,51000,2260666
IN,INDIA,0,0,3000,578063
ID,INDONESIA,5000,721492,2320225,117172162
IL,ISRAEL,0,0,4823,613220
JP,JAPAN,42704,4807663,796632,77381736
KR,"KOREA,REPUBLIC OF",16001,1805135,1547451,83604323
KW,KUWAIT,99000,3803525,1014750,43814761
MY,MALAYSIA,400803,17502379,1121094,54331419
NL,NETHERLANDS,168500,9106174,988155,60715708
OM,OMAN,0,0,1386000,61112622
PH,PHILIPPINES,0,0,5,706
QA,QATAR,331500,15522816,2728500,125771450
SA,SAUDI ARABIA,3133800,142789101,28461550,1330063029
SG,SINGAPORE,115625,5273009,4483210,227827794
SE,SWEDEN,0,0,50,11491
TW,"TAIWAN, PROVINCE OF CHINA",2080,1909250,4288,3732036
TH,THAILAND,0,0,105000,4969644
AE,UNITED ARAB EMIRATES,1534500,66702617,6930000,341229119
US,UNITED STATES,202580,15344707,3757062,213634433
VN,VIETNAM,15,2253,3337,232823
SUM,SUM,6681638,317308164,59499656,2954663092
