"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'CIF (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'CIF (Baht)')"
BE,BELGIUM,272250,11096856,272250,11096856
CN,CHINA,132000,9081814,132000,9081814
FR,FRANCE,22000,1735056,22000,1735056
ID,INDONESIA,43750,3489828,43750,3489828
IL,ISRAEL,3600,437707,3600,437707
JP,JAPAN,74320,8086460,74320,8086460
KR,"KOREA,REPUBLIC OF",56850,1950921,56850,1950921
KW,KUWAIT,74250,2464321,74250,2464321
MY,MALAYSIA,75500,2757701,75500,2757701
NL,NETHERLANDS,20000,896295,20000,896295
QA,QATAR,204000,7340467,204000,7340467
SA,SAUDI ARABIA,2957400,104284116,2957400,104284116
SG,SINGAPORE,925500,35388011,925500,35388011
ES,SPAIN,74250,2879108,74250,2879108
TW,"TAIWAN, PROVINCE OF CHINA",10,2432,10,2432
AE,UNITED ARAB EMIRATES,1027750,37896414,1027750,37896414
US,UNITED STATES,508325,19135230,508325,19135230
VN,VIETNAM,50,1338,50,1338
SUM,SUM,6471805,248924075,6471805,248924075
