"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2015', 'Quantity')","('Jan 2015', 'CIF (Baht)')","('Jan - Jan 2015', 'Quantity')","('Jan - Jan 2015', 'CIF (Baht)')"
AT,AUSTRIA,650,294151,650,294151
BE,BELGIUM,6500,950352,6500,950352
CA,CANADA,1500,395669,1500,395669
CN,CHINA,390827,15915822,390827,15915822
FR,FRANCE,1423,158004,1423,158004
DE,GERMANY,145116,10226052,145116,10226052
IN,INDIA,11000,968998,11000,968998
IT,ITALY,2025,287222,2025,287222
JP,JAPAN,251694,27305158,251694,27305158
KP,KOREA DPR,14000,716785,14000,716785
KR,"KOREA,REPUBLIC OF",408575,22065432,408575,22065432
MY,MALAYSIA,1250,113166,1250,113166
QA,QATAR,816000,39887924,816000,39887924
SA,SAUDI ARABIA,127600,5786556,127600,5786556
SG,SINGAPORE,2139224,114908584,2139224,114908584
ES,SPAIN,19800,1640207,19800,1640207
TW,"TAIWAN, PROVINCE OF CHINA",95491,5833679,95491,5833679
TH,THAILAND,37,12307,37,12307
AE,UNITED ARAB EMIRATES,396500,16418725,396500,16418725
US,UNITED STATES,1647577,142000222,1647577,142000222
VN,VIETNAM,10100,862446,10100,862446
SUM,SUM,6486889,406747461,6486889,406747461
