"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2020', 'Quantity')","('Nov 2020', 'CIF (Baht)')","('Jan - Nov 2020', 'Quantity')","('Jan - Nov 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,62305,806504
AT,AUSTRIA,0,0,18000,1681483
BE,BELGIUM,0,0,442925,39265517
BR,BRAZIL,0,0,25,10215
CA,CANADA,21455,994265,202370,5456857
CN,CHINA,949954,34994307,10054641,398975885
FI,FINLAND,0,0,100,49546
FR,FRANCE,7258,1884532,8983,2243590
DE,GERMANY,1150,155798,145861,12169421
HK,HONG KONG,66675,1223584,163668,2457415
IN,INDIA,0,0,11009,1574610
ID,INDONESIA,0,0,1782,179026
IL,ISRAEL,10160,592015,18645,1114662
IT,ITALY,0,0,4453,1495003
JP,JAPAN,251857,29649558,2632349,295024724
KR,"KOREA,REPUBLIC OF",710300,38033955,5516626,288423939
LU,LUXEMBOURG,15,5271,23,10292
MY,MALAYSIA,27100,2039374,215331,13501630
NL,NETHERLANDS,0,0,99456,3339624
SA,SAUDI ARABIA,0,0,544500,16091157
SG,SINGAPORE,575990,22169092,7926404,291334847
ES,SPAIN,51000,1895023,146778,5028973
SE,SWEDEN,0,0,350000,25654717
CH,SWITZERLAND,0,0,2,4140
TW,"TAIWAN, PROVINCE OF CHINA",22400,1872340,145886,10224408
TH,THAILAND,0,0,246075,13071108
AE,UNITED ARAB EMIRATES,177975,7259248,1986755,66269636
GB,UNITED KINGDOM,59950,4820814,155630,13005015
US,UNITED STATES,2235695,92178961,21105501,933425594
VN,VIETNAM,30660,1533760,490377,24813996
SUM,SUM,5199594,241301897,52696460,2466703534
