"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'CIF (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'CIF (Baht)')"
BE,BELGIUM,25,355,25,355
CA,CANADA,75000,3669877,324250,15279706
CN,CHINA,522500,25580133,979750,49498922
DE,GERMANY,0,0,4500,1188034
JP,JAPAN,37400,3215068,306065,30052373
KR,"KOREA,REPUBLIC OF",229450,25855726,2665201,256935070
LA,LAO PDR,0,0,20000,474907
NL,NETHERLANDS,47500,3476231,353000,23631399
QA,QATAR,0,0,229500,11332514
SA,SAUDI ARABIA,206250,11433521,1587800,77384928
SG,SINGAPORE,1685000,115921879,11728670,755035480
ES,SPAIN,16500,2140082,292710,32700691
AE,UNITED ARAB EMIRATES,1064450,55378396,4063728,203740920
US,UNITED STATES,926690,48507763,5378231,290905997
VN,VIETNAM,0,0,300,50466
SUM,SUM,4810765,295179031,27933730,1748211762
