"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'CIF (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'CIF (Baht)')"
AU,AUSTRALIA,99015,4669265,501167,22775235
AT,AUSTRIA,0,0,8000,482849
BD,BANGLADESH,0,0,25,3874
BE,BELGIUM,108634,7912810,471969,30830705
BR,BRAZIL,0,0,1100,837172
CN,CHINA,685664,47496733,2991792,210657049
FI,FINLAND,20625,1240858,64625,3871210
FR,FRANCE,124000,7705294,320502,19236814
DE,GERMANY,40275,4857636,162941,18746574
HK,HONG KONG,34597,3809396,36728,4610711
IN,INDIA,0,0,62825,5658528
ID,INDONESIA,34125,4887225,98401,10771187
IL,ISRAEL,0,0,12000,1315432
IT,ITALY,9621,1306235,20021,2690086
JP,JAPAN,2171868,179178772,6496721,556897371
KR,"KOREA,REPUBLIC OF",1617139,94834040,8541509,487803622
KW,KUWAIT,0,0,123750,5507310
MY,MALAYSIA,363701,26201205,1077404,80067896
NL,NETHERLANDS,167500,14760659,436375,38752191
NZ,NEW ZEALAND,0,0,2750,179616
PH,PHILIPPINES,0,0,306000,12879086
PT,PORTUGAL,0,0,2000,65291
QA,QATAR,0,0,16500,741262
SA,SAUDI ARABIA,3750750,176939460,25273750,1110060798
SG,SINGAPORE,1135485,69691245,3780481,226634880
ES,SPAIN,11025,1178863,39900,4295888
TW,"TAIWAN, PROVINCE OF CHINA",57550,5012181,255398,17891699
TH,THAILAND,0,0,13300,1018505
AE,UNITED ARAB EMIRATES,497775,23041597,3317252,141091885
GB,UNITED KINGDOM,0,0,300,99534
US,UNITED STATES,439200,27377472,2148280,127447757
VN,VIETNAM,165495,7734935,670726,30454075
SUM,SUM,11534044,709835881,57254492,3174376092
