"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2021', 'Quantity')","('Sept 2021', 'CIF (Baht)')","('Jan - Sept 2021', 'Quantity')","('Jan - Sept 2021', 'CIF (Baht)')"
BR,BRAZIL,0,0,2040,319519
CN,CHINA,510,49821,79211,4810164
FR,FRANCE,3450,637549,19362,3104346
DE,GERMANY,700,131910,7326,1594362
IN,INDIA,14000,784520,303101,11403822
IT,ITALY,0,0,525,126271
JP,JAPAN,65915,4215665,462618,25370891
KR,"KOREA,REPUBLIC OF",540860,29194557,2451605,112664805
MY,MALAYSIA,0,0,58816,3011819
NL,NETHERLANDS,0,0,2,21465
RU,RUSSIAN FEDERATION,0,0,8250,1402207
US,UNITED STATES,0,0,12452,1868630
SUM,SUM,625435,35014022,3405308,165698301
