"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2017', 'Quantity')","('Feb 2017', 'CIF (Baht)')","('Jan - Feb 2017', 'Quantity')","('Jan - Feb 2017', 'CIF (Baht)')"
AT,AUSTRIA,0,0,24750,1379852
BR,BRAZIL,1014750,51177686,2153850,109287554
CN,CHINA,132,121154,17153,1889222
FI,FINLAND,0,0,49500,2795430
DE,GERMANY,250887,18170574,574865,40483982
ID,INDONESIA,105500,7009195,105500,7009195
IL,ISRAEL,10200,840894,10200,840894
JP,JAPAN,162955,14860324,485359,38721207
KR,"KOREA,REPUBLIC OF",304000,17283308,559000,32552394
KW,KUWAIT,297000,12452162,643500,27099143
MY,MALAYSIA,1457920,68883807,3420248,159285757
NL,NETHERLANDS,220960,13011745,468730,27486537
QA,QATAR,637526,28671249,1529526,67475844
SA,SAUDI ARABIA,2329200,103626294,4537800,202277518
SG,SINGAPORE,2655780,133552498,4833930,245646858
ZA,SOUTH AFRICA,49500,2037306,49500,2037306
TW,"TAIWAN, PROVINCE OF CHINA",4335,582841,4335,582841
AE,UNITED ARAB EMIRATES,218840,7787510,387220,13137484
GB,UNITED KINGDOM,3000,638654,11004,1900001
US,UNITED STATES,121426,10892741,176383,15615957
VN,VIETNAM,21000,1691720,48000,3464946
SUM,SUM,9864911,493291662,20090353,1000969922
