"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'CIF (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'CIF (Baht)')"
BE,BELGIUM,0,0,27250,2287348
BR,BRAZIL,11200,1334584,562575,46858109
CA,CANADA,43400,493625,43400,493625
CN,CHINA,21437,1963780,54137,4205124
FI,FINLAND,74250,4834877,148500,9850236
FR,FRANCE,1375,228483,13375,2442452
DE,GERMANY,263952,19647399,699420,53934445
IN,INDIA,500,78668,1000,161964
ID,INDONESIA,51270,2165763,52295,2664403
IT,ITALY,4350,815357,18462,3694725
JP,JAPAN,280780,24926345,481631,38465490
KR,"KOREA,REPUBLIC OF",264500,11959989,452850,22752436
KW,KUWAIT,198000,6544672,1881000,65933106
LU,LUXEMBOURG,8300,2653674,17350,5216891
MY,MALAYSIA,4404798,165623736,10777706,419691945
NL,NETHERLANDS,136220,10153279,383725,29336641
NO,NORWAY,67360,7262328,138840,15259088
OM,OMAN,346602,11086585,643602,20909409
QA,QATAR,1295795,44961490,2417795,87879853
SA,SAUDI ARABIA,3232760,121632547,6036710,231330487
SG,SINGAPORE,1201675,51885546,2828217,125822625
SE,SWEDEN,0,0,206,50440
CH,SWITZERLAND,20,32072,20,32072
TW,"TAIWAN, PROVINCE OF CHINA",125,32124,650,113398
TH,THAILAND,6,1637,6,1637
AE,UNITED ARAB EMIRATES,74250,2552423,297000,10634166
GB,UNITED KINGDOM,5,11338,5,11338
US,UNITED STATES,72881,6580122,411213,25110270
VN,VIETNAM,133400,6300038,286400,13940013
SUM,SUM,12189211,505762481,28675340,1239083736
