"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'CIF (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,150,49408
AT,AUSTRIA,0,0,371250,19075694
BE,BELGIUM,49500,2609711,458925,26829069
BR,BRAZIL,0,0,200,58427
CA,CANADA,0,0,68750,4013248
CN,CHINA,0,0,322950,23897508
DE,GERMANY,0,0,2750,305561
ID,INDONESIA,32825,2827840,283815,25585472
IL,ISRAEL,0,0,8500,814417
JP,JAPAN,1549,22628298,5513346,387056706
KR,"KOREA,REPUBLIC OF",44800,2302872,67200,3676683
KW,KUWAIT,123750,6116510,1485000,74977837
MY,MALAYSIA,306500,16309043,12005325,653324732
MX,MEXICO,0,0,200,305765
NL,NETHERLANDS,0,0,303750,18239113
QA,QATAR,153000,7562231,1657500,83248081
SA,SAUDI ARABIA,1608750,80374612,26704121,1368756392
SG,SINGAPORE,123750,6806450,2430250,132477973
ES,SPAIN,49500,2708651,117000,7724291
AE,UNITED ARAB EMIRATES,297000,14581494,3784925,199973209
GB,UNITED KINGDOM,0,0,0,1967
US,UNITED STATES,120588,9460629,1732796,128458008
SUM,SUM,2911512,174288341,57318703,3158849561
