"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'CIF (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'CIF (Baht)')"
BD,BANGLADESH,0,0,20,5030
BE,BELGIUM,162500,11763190,447885,29090475
BR,BRAZIL,0,0,1100,196568
CA,CANADA,0,0,17000,1359948
CN,CHINA,38977,2449988,249200,15756151
FR,FRANCE,11000,579968,11000,579968
DE,GERMANY,0,0,40,18352
ID,INDONESIA,0,0,1640,90228
IT,ITALY,0,0,23550,3158434
JP,JAPAN,187168,14413880,661561,45188025
KE,KENYA,16000,846402,16000,846402
KR,"KOREA,REPUBLIC OF",252037,12973681,600754,31474785
MY,MALAYSIA,110280,4351862,441308,19557477
MX,MEXICO,0,0,8761,1716912
SA,SAUDI ARABIA,49500,2135733,717750,31386694
SG,SINGAPORE,2850,408157,3650,538144
CH,SWITZERLAND,0,0,20000,2567320
TW,"TAIWAN, PROVINCE OF CHINA",62601,4247205,247767,17130121
GB,UNITED KINGDOM,0,0,400,249596
US,UNITED STATES,75450,3745341,407175,23954431
VN,VIETNAM,68410,981604,184430,2744112
SUM,SUM,1036773,58897011,4060991,227609173
