"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'CIF (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'CIF (Baht)')"
BE,BELGIUM,24750,960065,31625,1316082
CN,CHINA,209,65450,19828,212317
FR,FRANCE,1,573,2,1794
DE,GERMANY,0,0,44,47407
IN,INDIA,0,0,2,429
JP,JAPAN,3500,382097,458803,9537765
KR,"KOREA,REPUBLIC OF",0,0,3,916
MY,MALAYSIA,0,0,1029,128501
QA,QATAR,102000,3101998,280500,8923613
SA,SAUDI ARABIA,21600,737330,172800,6301976
SG,SINGAPORE,0,0,0,89
ES,SPAIN,0,0,2,1277
CH,SWITZERLAND,0,0,2,1974
TW,"TAIWAN, PROVINCE OF CHINA",0,0,23001,3133412
AE,UNITED ARAB EMIRATES,0,0,11,6831
GB,UNITED KINGDOM,0,0,195,66182
US,UNITED STATES,0,0,37343,287858
VN,VIETNAM,0,0,50000,2325405
SUM,SUM,152060,5247513,1075190,32293828
