"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2012', 'Quantity')","('Apr 2012', 'CIF (Baht)')","('Jan - Apr 2012', 'Quantity')","('Jan - Apr 2012', 'CIF (Baht)')"
AT,AUSTRIA,425,187386,775,347057
BE,BELGIUM,22500,1180510,36377,2825295
CA,CANADA,0,0,106000,6058542
CN,CHINA,190737,11543661,1112606,59641940
FR,FRANCE,12745,953973,13195,1000488
DE,GERMANY,72760,5906197,130527,11129404
HK,HONG KONG,1000,79975,52100,6003046
ID,INDONESIA,0,0,255,33589
IL,ISRAEL,0,0,0,134
IT,ITALY,0,0,0,2366
JP,JAPAN,353597,43217229,1314216,163786226
KR,"KOREA,REPUBLIC OF",663180,52093504,1778997,136442400
MY,MALAYSIA,25,4029,161547,10351128
NL,NETHERLANDS,4000,432656,175700,10407484
NO,NORWAY,0,0,12,8206
QA,QATAR,459000,20289268,2190000,94117061
SA,SAUDI ARABIA,470250,21103415,1696800,71397868
SG,SINGAPORE,1739175,87109177,6202578,313933767
ES,SPAIN,11000,730222,42527,3634686
TW,"TAIWAN, PROVINCE OF CHINA",101074,7212974,794597,51452013
TH,THAILAND,0,0,80,15944
AE,UNITED ARAB EMIRATES,495000,22364922,990075,42990211
GB,UNITED KINGDOM,2000,370544,11000,2109912
US,UNITED STATES,1607721,130508654,4314332,297668979
VN,VIETNAM,85300,6716191,371625,28455420
SUM,SUM,6291489,412004487,21495921,1313813166
