"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2018', 'Quantity')","('Sept 2018', 'CIF (Baht)')","('Jan - Sept 2018', 'Quantity')","('Jan - Sept 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,9000,927415
CN,CHINA,3000,310018,33226,2626747
DE,GERMANY,0,0,7025,862332
JP,JAPAN,37000,2260701,69050,4767397
KR,"KOREA,REPUBLIC OF",200,22053,23350,1516760
NL,NETHERLANDS,74250,3589527,696250,33744434
SA,SAUDI ARABIA,173250,7067822,1035000,42238780
SG,SINGAPORE,2041180,111055900,7984490,485925654
ES,SPAIN,8800,579857,95550,5200026
TH,THAILAND,0,0,25,17268
AE,UNITED ARAB EMIRATES,71800,2914172,1821725,74898852
GB,UNITED KINGDOM,0,0,25,14852
US,UNITED STATES,0,0,184548,14385232
SUM,SUM,2409480,127800050,11959264,667125749
