"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'CIF (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'CIF (Baht)')"
CN,CHINA,25500,2103608,51000,4125939
FR,FRANCE,322,52214,15415,1389423
DE,GERMANY,1400,267447,2800,528495
IN,INDIA,12,1545,28412,1745124
IT,ITALY,0,0,220,37760
JP,JAPAN,97794,6953661,261926,17988792
KR,"KOREA,REPUBLIC OF",161450,10895966,943792,62184631
MY,MALAYSIA,19560,1344780,58690,3866960
NL,NETHERLANDS,2,3186,2,3186
RU,RUSSIAN FEDERATION,0,0,8250,1412801
SG,SINGAPORE,0,0,170,55765
US,UNITED STATES,4445,674440,5097,819693
SUM,SUM,310485,22296847,1375774,94158569
