"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'CIF (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'CIF (Baht)')"
AU,AUSTRALIA,20000,1925542,40599,3950118
BE,BELGIUM,99299,4765396,198599,9942420
CN,CHINA,97000,7288099,472000,36066251
FI,FINLAND,0,0,1375,100980
ID,INDONESIA,217825,10036251,409225,27646183
IL,ISRAEL,0,0,5980,479291
JP,JAPAN,382390,19905833,3982864,214820258
KR,"KOREA,REPUBLIC OF",71200,3339258,222050,10793419
KW,KUWAIT,173250,6806916,1188000,47199923
MY,MALAYSIA,1270400,53682636,5932709,254514152
NL,NETHERLANDS,143750,7049912,705500,33771032
PH,PHILIPPINES,0,0,17000,729244
QA,QATAR,255000,10018836,1989100,78605137
SA,SAUDI ARABIA,3090598,128513100,19391649,792337121
SG,SINGAPORE,470250,21706605,2472434,109450192
ES,SPAIN,198000,9130588,225500,10653292
TH,THAILAND,0,0,17622,984871
AE,UNITED ARAB EMIRATES,1089000,44432787,6177325,255112968
GB,UNITED KINGDOM,0,0,5,2851
US,UNITED STATES,152400,9741311,940806,60438864
SUM,SUM,7730362,338343070,44390342,1947598567
