"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2013', 'Quantity')","('Oct 2013', 'CIF (Baht)')","('Jan - Oct 2013', 'Quantity')","('Jan - Oct 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,750,61598
AT,AUSTRIA,0,0,151540,10910016
BE,BELGIUM,0,0,569809,34477172
BR,BRAZIL,49500,2383796,49500,2383796
CA,CANADA,0,0,400500,17510955
CN,CHINA,22925,2007652,1245982,64593905
DK,DENMARK,0,0,710,957130
FI,FINLAND,74250,4783173,593825,37054202
FR,FRANCE,0,0,2883,344535
DE,GERMANY,91575,10109837,706503,71559000
HK,HONG KONG,0,0,103500,4845777
IN,INDIA,1,2437,6626,336310
ID,INDONESIA,3325,1209208,14206,5906007
IL,ISRAEL,0,0,9,4301
IT,ITALY,0,0,585,113040
JP,JAPAN,507050,39818960,4429240,328925285
KR,"KOREA,REPUBLIC OF",681575,37623016,3733635,200301960
KW,KUWAIT,396000,18478320,4059000,177242502
LU,LUXEMBOURG,2750,231685,56375,3623741
MY,MALAYSIA,3183956,171091634,35387481,1645570300
NL,NETHERLANDS,252030,20322229,1605250,119064016
NZ,NEW ZEALAND,64000,1651319,320125,7969125
NO,NORWAY,0,0,148500,8974159
QA,QATAR,798000,39544267,7014150,308666369
SA,SAUDI ARABIA,2728350,135824785,23693137,1082731029
SG,SINGAPORE,2215250,120246191,17505603,871347765
ZA,SOUTH AFRICA,0,0,396003,19982914
ES,SPAIN,124000,13902230,1161250,113405079
SE,SWEDEN,0,0,300,27443
CH,SWITZERLAND,0,0,6440,1473362
TW,"TAIWAN, PROVINCE OF CHINA",750,133518,84095,6121729
TH,THAILAND,0,0,214000,12003990
AE,UNITED ARAB EMIRATES,0,0,618650,26797011
GB,UNITED KINGDOM,500,122222,8383,1524564
US,UNITED STATES,222249,15391026,2587306,173271026
VN,VIETNAM,50,5590,38776,4384112
SUM,SUM,11418086,634883095,106914627,5364465225
